Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2019 Mercedes-Benz C-Class C 300,"45,082 mi.",4.6,"(1,003 reviews)",Mercedes-Benz Certified,"$4,651 price drop","$34,499"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"13,258 mi.",4.5,(754 reviews),Used,$924 price drop,"$48,888"
2019 Lexus RX 350 350,"39,357 mi.",4.8,"(1,195 reviews)",Used,$210 price drop,"$50,996"
2019 Acura MDX 3.5L w/Technology Package,"12,065 mi.",2.8,(34 reviews),Used,$458 price drop,"$43,998"
2019 BMW X5 xDrive40i,"34,572 mi.",4.7,(247 reviews),BMW Certified,"$1,866 price drop","$55,997"
2019 Hyundai Santa Fe SE 2.4,"30,972 mi.",5.0,(5 reviews),Used,"$2,100 price drop","$19,988"
2021 Toyota Corolla LE,"89,926 mi.",4.7,"(1,338 reviews)",Used,$299 price drop,"$22,355"
2021 Mazda CX-5 Touring,"21,370 mi.",4.7,"(6,038 reviews)",Used,$500 price drop,"$24,581"
2020 Honda CR-V EX-L,"47,747 mi.",4.7,(631 reviews),Honda Certified,$500 price drop,"$33,976"
2018 Ford F-150 Lariat,"20,890 mi.",4.8,(724 reviews),Used,"$1,000 price drop","$45,250"
2020 Lexus RX 350 Base,"20,068 mi.",4.7,(921 reviews),Used,$120 price drop,"$47,695"
2018 Hyundai Sonata Limited,"15,382 mi.",4.7,"(1,425 reviews)",Used,"$2,776 price drop","$24,991"
2021 RAM 1500 Laramie,"23,955 mi.",4.7,(611 reviews),Used,"$1,000 price drop","$53,000"
2019 Nissan Altima 2.5 SL,"20,234 mi.",4.5,"(1,255 reviews)",Used,$899 price drop,"$28,677"
2017 Aston Martin DB11 Launch Edition,"18,709 mi.",4.5,(50 reviews),Used,$670 price drop,"$155,000"
2018 Dodge Challenger GT,"11,721 mi.",3.8,(6 reviews),Used,$530 price drop,"$36,989"
2019 Mazda CX-5 Grand Touring,"13,744 mi.",4.8,"(1,556 reviews)",Used,$500 price drop,"$34,789"
2017 Alfa Romeo Giulia Ti,"26,559 mi.",2.8,(95 reviews),Used,$620 price drop,"$28,895"
2014 Mercedes-Benz E-Class E 350,"22,669 mi.",4.6,"(1,323 reviews)",Used,"$3,000 price drop","$22,591"
2019 Ford F-150 Limited,"56,601 mi.",5.0,(1 review),Used,$300 price drop,"$60,000"
2021 Nissan Armada SL,"45,845 mi.",4.7,(442 reviews),Used,$376 price drop,"$56,582"
2018 Ford F-150 Lariat,"13,886 mi.",4.8,(450 reviews),Used,$500 price drop,"$43,409"
2017 RAM 1500 Laramie,"45,745 mi.",4.6,(249 reviews),Used,$800 price drop,"$39,994"
2019 Audi Q5 2.0T Premium,"23,173 mi.",4.6,(166 reviews),Used,"$1,000 price drop","$36,700"
2019 BMW X7 xDrive40i,"16,475 mi.",4.7,"(9,382 reviews)",BMW Certified,"$1,500 price drop","$65,082"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"47,055 mi.",4.7,"(1,479 reviews)",Used,"$2,000 price drop","$57,995"
2021 Audi Q5 45 Premium,"19,051 mi.",4.6,"(1,212 reviews)",Used,"$1,000 price drop","$45,777"
2021 BMW 330 i,"12,027 mi.",4.7,"(1,954 reviews)",Used,$222 price drop,"$41,595"
2017 INFINITI QX60 Base,"14,815 mi.",4.8,"(3,666 reviews)",Used,"$2,000 price drop","$22,957"
2019 Ford Explorer XLT,"94,323 mi.",4.6,"(3,293 reviews)",Used,"$1,060 price drop","$30,689"
2019 BMW 330 i xDrive,"73,547 mi.",4.3,"(1,341 reviews)",Used,$400 price drop,"$35,880"
2019 GMC Terrain SLE,"36,486 mi.",4.7,"(2,192 reviews)",Used,"$1,100 price drop","$27,500"
2019 Lexus RX 350 350,"16,120 mi.",4.4,(432 reviews),Used,$750 price drop,"$40,969"
2015 Jeep Grand Cherokee Overland,"12,493 mi.",4.2,(12 reviews),Used,"$1,000 price drop","$24,995"
2018 GMC Yukon Denali,"92,000 mi.",4.2,(204 reviews),Used,"$1,999 price drop","$57,998"
2013 Honda Accord EX-L,"46,740 mi.",4.9,(751 reviews),Used,"$2,075 price drop","$17,997"
2019 Mercedes-Benz AMG GLS 63 Base,"103,711 mi.",4.3,(45 reviews),Used,"$7,000 price drop","$84,000"
2021 Dodge Durango R/T,Mileage,5.0,(1 review),Used,"$2,000 price drop","$49,800"
2017 INFINITI QX80 ,"22,192 mi.",4.6,(359 reviews),Used,"$1,034 price drop","$34,999"
2020 Ford Expedition XLT,"63,424 mi.",4.6,"(1,599 reviews)",Used,$324 price drop,"$54,750"
2019 BMW 330 i,"18,443 mi.",4.6,(912 reviews),Used,"$1,000 price drop","$36,991"
2017 Cadillac XT5 Premium Luxury,"30,347 mi.",4.5,(114 reviews),Used,"$2,000 price drop","$31,000"
2021 Mercedes-Benz AMG GLE 53 Base,"58,405 mi.",4.8,(115 reviews),Used,$555 price drop,"$87,888"
2018 Subaru Forester 2.5i Limited,"11,894 mi.",4.9,"(1,493 reviews)",Used,"$1,000 price drop","$29,822"
2019 Toyota 4Runner Limited,"37,214 mi.",4.5,"(1,818 reviews)",Used,"$1,000 price drop","$44,990"
2019 Honda CR-V EX-L,"40,992 mi.",4.7,(926 reviews),Used,$450 price drop,"$31,908"
2021 Mercedes-Benz GLC 300 Base,"34,611 mi.",4.7,"(2,073 reviews)",Used,$200 price drop,"$43,391"
2020 Chevrolet Spark 1LT,"15,027 mi.",4.8,(195 reviews),Used,"$1,000 price drop","$16,988"
2018 BMW 330 i xDrive,"13,789 mi.",4.8,"(1,992 reviews)",BMW Certified,"$27,001 price drop","$34,995"
2019 Cadillac XT5 Luxury,"10,993 mi.",3.9,(74 reviews),Cadillac Certified,$300 price drop,"$37,889"
2021 Honda CR-V EX,"15,180 mi.",4.7,"(1,148 reviews)",Honda Certified,$800 price drop,"$33,680"
2020 Land Rover Range Rover Evoque S,"13,403 mi.",4.7,"(1,034 reviews)",Used,$505 price drop,"$43,999"
2019 Buick Encore Essence,"24,649 mi.",4.8,(511 reviews),Used,"$1,743 price drop","$22,432"
2021 Mercedes-Benz AMG GLE 53 Base,"35,655 mi.",4.6,"(1,278 reviews)",Used,$262 price drop,"$93,790"
2016 Porsche Macan S,"13,895 mi.",3.2,(11 reviews),Used,$150 price drop,"$43,998"
2019 BMW 330 i,"46,522 mi.",4.7,"(9,382 reviews)",BMW Certified,$491 price drop,"$35,841"
2017 Ford Fusion SE,"16,212 mi.",4.9,"(9,504 reviews)",Used,"$1,390 price drop","$19,800"
2021 Mazda CX-5 Touring,"63,234 mi.",4.3,"(1,341 reviews)",Used,"$1,718 price drop","$29,092"
2021 Mercedes-Benz E-Class E 350,"11,411 mi.",4.8,"(4,552 reviews)",Used,$489 price drop,"$58,880"
2019 Jeep Grand Cherokee Laredo E,"12,561 mi.",4.8,"(5,265 reviews)",Jeep Certified,"$1,500 price drop","$28,000"
2021 Mercedes-Benz AMG G 63 Base,"23,640 mi.",4.4,"(1,446 reviews)",Mercedes-Benz Certified,$500 price drop,"$212,893"
2020 Lexus RX 350 Base,"15,106 mi.",4.6,(426 reviews),Used,"$1,501 price drop","$46,000"
2018 Mazda Mazda3 Touring,"15,295 mi.",4.8,"(1,726 reviews)",Used,"$2,995 price drop","$22,700"
2020 Mercedes-Benz GLB 250 Base 4MATIC,"26,929 mi.",3.6,(56 reviews),Used,$559 price drop,"$41,995"
2020 Jeep Grand Cherokee Limited,"16,059 mi.",4.7,"(6,038 reviews)",Used,$236 price drop,"$41,067"
2019 Ford Escape SE,"40,950 mi.",4.4,(608 reviews),Used,$349 price drop,"$24,057"
2019 Lexus RX 350 350,"14,073 mi.",4.8,"(1,124 reviews)",Used,"$1,000 price drop","$37,735"
2020 Chevrolet Traverse Premier,"36,549 mi.",3.9,(75 reviews),Used,$800 price drop,"$42,849"
2019 Ford Expedition Limited,"63,250 mi.",4.7,(536 reviews),Used,$642 price drop,"$50,977"
2019 Jeep Grand Cherokee Limited,"56,201 mi.",4.7,"(2,272 reviews)",Used,$107 price drop,"$36,499"
2020 Audi Q7 55 Premium Plus,"31,158 mi.",4.5,(615 reviews),Used,"$1,000 price drop","$47,948"
2019 Lexus RX 350 Base,"68,480 mi.",4.5,(92 reviews),Used,"$1,000 price drop","$41,445"
2019 Chevrolet Tahoe LT,"23,537 mi.",4.7,"(2,479 reviews)",Used,$700 price drop,"$38,800"
2021 Porsche Cayenne ,"56,912 mi.",4.5,(886 reviews),Porsche Certified,"$1,965 price drop","$86,977"
2019 Subaru Crosstrek 2.0i Limited,"11,283 mi.",4.3,"(1,366 reviews)",Used,"$7,159 price drop","$28,885"
2021 Lexus GX 460 Base,"30,883 mi.",4.8,"(2,387 reviews)",Used,"$1,000 price drop","$59,250"
2020 Toyota Tundra SR5,"12,305 mi.",4.9,(596 reviews),Toyota Certified,"$1,001 price drop","$52,895"
2019 Lincoln Navigator Reserve,"19,106 mi.",4.5,(534 reviews),Used,"$2,000 price drop","$67,988"
2019 Kia Sorento EX,"41,775 mi.",4.5,(591 reviews),Used,"$3,153 price drop","$31,500"
2015 Jeep Grand Cherokee Limited,"28,828 mi.",4.8,"(2,071 reviews)",Used,$500 price drop,"$23,500"
2019 BMW X1 xDrive28i,"86,022 mi.",3.2,(21 reviews),Used,"$1,972 price drop","$34,490"
2021 Audi Q7 45 Premium,"17,917 mi.",4.1,(571 reviews),Used,$250 price drop,"$56,988"
2018 BMW 330 i xDrive,"16,137 mi.",3.0,(31 reviews),Used,$779 price drop,"$29,494"
2018 Mercedes-Benz E-Class E 300,"38,008 mi.",4.7,"(2,039 reviews)",Used,"$1,700 price drop","$37,998"
2016 Honda Civic EX,"43,687 mi.",4.9,"(1,121 reviews)",Used,"$1,595 price drop","$16,995"
2021 Tesla Model 3 Standard Range Plus,"140,011 mi.",4.6,(26 reviews),Used,"$1,975 price drop","$56,995"
2020 RAM 1500 Laramie,Mileage,4.8,"(1,113 reviews)",Used,"$1,000 price drop","$50,987"
2020 Lincoln Corsair Reserve,"16,065 mi.",4.7,(736 reviews),Used,$962 price drop,"$38,990"
2021 Tesla Model 3 Performance,"32,111 mi.",4.6,"(1,278 reviews)",Used,"$1,000 price drop","$65,970"
2020 Acura MDX 3.5L w/Technology Package,"18,653 mi.",4.9,"(1,921 reviews)",Used,$750 price drop,"$44,000"
2014 Mercedes-Benz SL-Class SL 63 AMG,"16,905 mi.",3.8,(16 reviews),Used,"$2,147 price drop","$74,900"
2020 INFINITI QX60 Luxe,"20,941 mi.",4.7,(395 reviews),INFINITI Certified,"$1,999 price drop","$40,925"
2019 BMW 540 i,"19,176 mi.",4.7,"(1,823 reviews)",BMW Certified,$778 price drop,"$42,999"
2019 Buick Encore Essence,"46,042 mi.",4.3,(400 reviews),Used,"$2,500 price drop","$25,000"
2021 Ford F-150 Lariat,"33,476 mi.",4.5,(221 reviews),Used,$951 price drop,"$61,996"
2019 Lexus RX 350 F Sport,"18,269 mi.",4.8,"(1,710 reviews)",Used,$510 price drop,"$45,000"
2020 BMW M340 i xDrive,"33,784 mi.",4.8,(485 reviews),BMW Certified,$446 price drop,"$49,398"
2021 Honda Accord Sport 1.5T,"10,193 mi.",4.6,(174 reviews),Used,$147 price drop,"$35,193"
2020 Kia Sorento LX,"15,140 mi.",4.5,(309 reviews),Used,$225 price drop,"$29,994"
2019 Chevrolet Equinox Premier w/1LZ,"46,315 mi.",4.0,(116 reviews),Used,$100 price drop,"$22,978"
2019 Toyota 4Runner Limited Nightshade,"31,777 mi.",4.5,"(1,700 reviews)",Used,$500 price drop,"$47,522"
2021 Audi RS 5 2DR 2.9 TFSI QTRO,"25,760 mi.",4.1,(32 reviews),Used,"$1,380 price drop","$91,265"
2021 RAM 1500 Big Horn,"5,174 mi.",4.7,(705 reviews),Used,$595 price drop,"$55,000"
2019 Honda CR-V EX-L,"12,000 mi.",4.8,"(1,607 reviews)",Used,$500 price drop,"$32,997"
2021 Audi A5 40 Premium,"21,339 mi.",4.6,(238 reviews),Used,$737 price drop,"$41,000"
2019 Audi Q5 Premium Plus,"11,524 mi.",4.8,(465 reviews),Used,"$1,022 price drop","$39,948"
2021 Volvo XC40 Recharge Pure Electric P8,"19,340 mi.",4.4,(90 reviews),Used,$500 price drop,"$61,988"
2021 Dodge Charger GT,"13,669 mi.",4.5,(524 reviews),Used,"$1,000 price drop","$39,423"
2020 Nissan Rogue S,"12,534 mi.",4.7,"(1,571 reviews)",Used,$174 price drop,"$23,845"
2017 Audi Q7 3.0T Prestige,"26,893 mi.",4.7,"(4,959 reviews)",Used,"$1,000 price drop","$37,550"
2021 Kia Seltos SX,"54,064 mi.",4.5,(68 reviews),Kia Certified,"$2,045 price drop","$33,995"
2019 Chevrolet Equinox Premier w/1LZ,"24,011 mi.",4.8,(267 reviews),Chevrolet Certified,$300 price drop,"$36,616"
2018 Nissan Rogue SL,"12,348 mi.",4.3,(6 reviews),Nissan Certified,$200 price drop,"$28,406"
2021 Toyota Corolla LE,"15,570 mi.",4.8,"(4,552 reviews)",Used,"$2,002 price drop","$24,252"
2021 Toyota Corolla LE,"19,129 mi.",4.8,"(1,666 reviews)",Used,$689 price drop,"$20,500"
2019 Mercedes-Benz GLC 300 Base,"44,040 mi.",4.9,"(2,769 reviews)",Used,"$1,019 price drop","$36,609"
2019 Honda Odyssey EX-L,"21,556 mi.",4.8,"(1,257 reviews)",Used,"$1,000 price drop","$34,750"
2019 Ford F-150 Lariat,"80,802 mi.",4.9,"(2,417 reviews)",Ford Certified,$993 price drop,"$49,477"
2020 Acura TLX Technology,"46,250 mi.",4.6,(86 reviews),Acura Certified,$500 price drop,"$37,399"
2019 Honda CR-V EX-L,"11,474 mi.",4.6,"(2,064 reviews)",Used,"$1,666 price drop","$27,718"
2021 Toyota Tacoma TRD Off Road,"52,493 mi.",4.5,(660 reviews),Used,"$1,000 price drop","$46,976"
2019 Jeep Grand Cherokee Limited,"17,464 mi.",4.7,"(1,044 reviews)",Used,"$7,545 price drop","$29,995"
2016 Chevrolet Tahoe LT,"80,050 mi.",4.6,(86 reviews),Used,$470 price drop,"$37,500"
2019 Toyota RAV4 LE,"67,045 mi.",4.4,(45 reviews),Used,$760 price drop,"$29,625"
2019 Chevrolet Trax LS,"15,737 mi.",4.9,(71 reviews),Chevrolet Certified,"$3,095 price drop","$19,495"
2020 Mercedes-Benz C-Class C 300,"20,569 mi.",3.5,(193 reviews),Used,$795 price drop,"$40,189"
2021 Kia Seltos SX,"26,095 mi.",2.8,(34 reviews),Used,$495 price drop,"$37,951"
2019 Mercedes-Benz C-Class C 300 4MATIC,"14,067 mi.",3.7,(3 reviews),Used,"$1,000 price drop","$38,998"
2020 Land Rover Range Rover Evoque First Edition,"21,196 mi.",4.3,"(1,383 reviews)",Used,$500 price drop,"$52,888"
2020 Honda Civic Type R Touring,"19,291 mi.",4.6,(397 reviews),Used,$707 price drop,"$44,995"
2019 Cadillac Escalade ESV Premium Luxury,"12,108 mi.",4.7,(235 reviews),Used,"$1,602 price drop","$69,653"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"29,943 mi.",4.5,(339 reviews),Used,"$1,000 price drop","$55,000"
2020 Hyundai Kona Ultimate,Mileage,4.3,(22 reviews),Used,$410 price drop,"$29,388"
2019 Kia Sportage LX,"13,658 mi.",4.8,(906 reviews),Used,"$1,795 price drop","$22,389"
2021 Audi Q5 45 Premium,"45,411 mi.",4.6,"(1,212 reviews)",Used,"$2,000 price drop","$51,777"
2019 Lexus RX 350 350,"11,728 mi.",5.0,(4 reviews),Used,"$1,639 price drop","$41,500"
2021 Hyundai Palisade SEL,"23,071 mi.",4.7,"(1,575 reviews)",Used,$910 price drop,"$41,011"
2020 Chevrolet Silverado 1500 LTZ,"32,343 mi.",3.9,(39 reviews),Used,$113 price drop,"$53,998"
2019 BMW X5 xDrive40i,"14,563 mi.",4.5,(749 reviews),Used,$499 price drop,"$49,999"
2020 BMW 750 i xDrive,"21,845 mi.",4.4,(730 reviews),Used,$573 price drop,"$69,466"
2019 Jeep Grand Cherokee Limited,"23,919 mi.",4.5,(313 reviews),Jeep Certified,$500 price drop,"$33,989"
2019 Audi Q5 2.0T Premium Plus,"20,878 mi.",4.8,"(4,081 reviews)",Used,$500 price drop,"$35,990"
2021 RAM 1500 Limited,"52,078 mi.",3.5,(133 reviews),Used,$300 price drop,"$64,999"
2019 Mazda CX-5 Grand Touring,"24,144 mi.",4.6,(401 reviews),Used,$719 price drop,"$31,878"
2019 Mazda CX-3 Touring,"15,983 mi.",4.5,"(1,227 reviews)",Used,$500 price drop,"$27,500"
2018 Cadillac XT5 Luxury,"10,066 mi.",4.6,(343 reviews),Used,$509 price drop,"$35,000"
2017 INFINITI QX80 Base,"22,511 mi.",4.5,"(1,042 reviews)",Used,$470 price drop,"$39,694"
2017 Dodge Charger R/T,"69,743 mi.",4.3,"(1,369 reviews)",Used,$510 price drop,"$25,000"
2020 INFINITI QX60 LUXE,"86,886 mi.",4.9,(112 reviews),INFINITI Certified,"$1,000 price drop","$38,998"
2020 Nissan Rogue Sport S,"38,843 mi.",4.9,"(3,948 reviews)",Used,$700 price drop,"$25,990"
2021 Porsche Cayenne Base,"10,790 mi.",4.5,(781 reviews),Used,$500 price drop,"$79,999"
2019 Kia Sorento LX,"12,150 mi.",4.3,(63 reviews),Used,"$1,879 price drop","$24,498"
2020 Subaru Ascent Touring 7-Passenger,"47,915 mi.",4.6,(669 reviews),Used,$737 price drop,"$40,477"
2020 Lexus GX 460 Base,"41,301 mi.",4.8,"(1,862 reviews)",Used,$200 price drop,"$56,699"
2020 Mercedes-Benz AMG CLA 35 Base 4MATIC,"31,386 mi.",4.7,"(2,073 reviews)",Mercedes-Benz Certified,"$2,900 price drop","$51,991"
2022 Porsche 911 Turbo S,"18,060 mi.",4.7,(927 reviews),Used,$800 price drop,"$280,000"
2019 Subaru Outback 2.5i Limited,143 mi.,4.4,(333 reviews),Subaru Certified,$400 price drop,"$33,938"
2018 Tesla Model X 75D,"17,445 mi.",4.3,(70 reviews),Used,"$2,000 price drop","$83,990"
2017 Dodge Durango GT,"19,917 mi.",4.5,(717 reviews),Used,"$1,119 price drop","$28,292"
2020 BMW X5 xDrive40i,"83,874 mi.",4.8,"(1,018 reviews)",Used,"$1,506 price drop","$58,998"
2020 GMC Acadia SLT,"32,425 mi.",4.8,"(1,911 reviews)",Used,$884 price drop,"$38,987"
2020 Cadillac XT6 AWD Premium Luxury,"22,140 mi.",4.6,(201 reviews),Cadillac Certified,$860 price drop,"$53,990"
2015 Volvo XC60 T6 Platinum,"19,253 mi.",4.5,(154 reviews),Used,"$2,000 price drop","$22,900"
2020 Alfa Romeo Stelvio Ti,"61,832 mi.",4.1,"(1,854 reviews)",Used,$759 price drop,"$44,977"
2019 Chrysler 300 Limited,"32,617 mi.",4.5,(272 reviews),Used,"$2,000 price drop","$26,724"
2021 Acura RDX w/Technology Package,"48,672 mi.",4.3,(70 reviews),Acura Certified,"$1,000 price drop","$42,995"
2019 BMW X5 xDrive40i,"10,698 mi.",4.8,"(2,700 reviews)",BMW Certified,"$2,000 price drop","$54,710"
2014 Acura RDX Technology,"31,945 mi.",4.7,(140 reviews),Used,$460 price drop,"$17,991"
2020 Acura RDX Technology Package,"96,110 mi.",4.1,(123 reviews),Used,$981 price drop,"$39,420"
2021 Tesla Model Y Long Range,"24,548 mi.",5.0,(2 reviews),Used,$300 price drop,"$74,977"
2021 Mercedes-Benz GLE 350 Base 4MATIC,"10,863 mi.",4.7,(566 reviews),Mercedes-Benz Certified,$480 price drop,"$60,985"
2019 INFINITI QX80 Luxe,"20,240 mi.",4.0,(415 reviews),Used,$623 price drop,"$45,996"
2019 Dodge Durango R/T,"39,839 mi.",4.6,(949 reviews),Used,$719 price drop,"$46,995"
2020 Lexus ES 350 Base,Mileage,3.7,(11 reviews),Used,$200 price drop,"$40,788"
2019 GMC Acadia SLT-1,"23,318 mi.",4.5,(8 reviews),Used,$494 price drop,"$31,998"
2021 Toyota Corolla LE,"48,095 mi.",4.3,"(1,366 reviews)",Used,$189 price drop,"$26,255"
2019 Audi A5 2.0T Premium,"16,249 mi.",4.9,"(21,777 reviews)",Used,"$1,390 price drop","$36,999"
2020 Toyota Yaris Sedan LE,"46,702 mi.",3.5,(63 reviews),Used,"$5,801 price drop","$7,950"
2019 Acura MDX 3.5L,"12,961 mi.",4.6,"(4,515 reviews)",Used,$144 price drop,"$36,799"
2019 BMW X5 xDrive40i,"17,834 mi.",4.6,(154 reviews),BMW Certified,$749 price drop,"$52,222"
2018 Dodge Durango R/T,"41,822 mi.",4.4,(543 reviews),Used,$399 price drop,"$37,500"
2019 BMW 430 i xDrive,"64,654 mi.",4.5,(61 reviews),Used,$200 price drop,"$46,900"
2017 BMW 330 i xDrive,"36,853 mi.",4.5,"(1,208 reviews)",Used,$998 price drop,"$29,989"
2018 Jeep Grand Cherokee Limited,"56,525 mi.",4.8,"(1,637 reviews)",Used,"$2,901 price drop","$29,565"
2017 Audi Q7 2.0T Premium Plus,"39,424 mi.",4.7,(742 reviews),Used,"$2,292 price drop","$27,995"
2021 GMC Sierra 2500 Denali,"95,482 mi.",4.9,"(12,923 reviews)",Used,$906 price drop,"$81,500"
2021 Toyota Tundra SR5,"17,037 mi.",4.8,"(2,390 reviews)",Used,"$1,000 price drop","$46,350"
2019 Mercedes-Benz E-Class E 300,"18,990 mi.",4.5,(456 reviews),Mercedes-Benz Certified,$100 price drop,"$45,900"
2019 Ford Expedition Max Limited,"15,565 mi.",4.9,(406 reviews),Used,$265 price drop,"$61,000"
2019 BMW 330 i xDrive,"32,286 mi.",4.7,"(1,808 reviews)",Used,"$2,785 price drop","$36,200"
2021 Dodge Durango R/T,"38,211 mi.",4.1,"(1,854 reviews)",Used,$101 price drop,"$49,523"
2021 Ford Bronco Sport Base,"11,166 mi.",4.7,(310 reviews),Used,$999 price drop,"$33,786"
2019 Honda CR-V EX,"12,312 mi.",4.8,"(1,558 reviews)",Used,"$2,998 price drop","$29,484"
2016 Nissan Maxima 3.5 Platinum,"16,419 mi.",4.8,(0 reviews),Used,"$1,500 price drop","$21,000"
2021 Nissan Rogue SV,"94,805 mi.",4.6,(58 reviews),Nissan Certified,"$1,100 price drop","$37,998"
2020 Jeep Grand Cherokee Limited,"11,579 mi.",4.6,"(1,385 reviews)",Used,"$3,500 price drop","$38,308"
2019 Land Rover Discovery SE,"37,784 mi.",4.8,(254 reviews),Used,$390 price drop,"$50,248"
2019 Honda Pilot EX-L,"20,863 mi.",4.7,(886 reviews),Used,"$3,800 price drop","$34,950"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"37,252 mi.",4.5,"(1,102 reviews)",Used,"$1,000 price drop","$63,990"
2018 Mercedes-Benz E-Class E 300,"19,992 mi.",4.5,(749 reviews),Mercedes-Benz Certified,$250 price drop,"$41,394"
2021 BMW M340 i,"21,281 mi.",4.1,(811 reviews),Used,$600 price drop,"$54,995"
2015 Lexus NX 200t Base,"27,928 mi.",4.2,(882 reviews),Used,$524 price drop,"$26,490"
2019 Cadillac Escalade ESV Premium Luxury,"48,318 mi.",4.7,(89 reviews),Cadillac Certified,"$2,000 price drop","$67,996"
2014 Honda Civic LX,"37,939 mi.",4.0,"(1,547 reviews)",Used,$135 price drop,"$19,999"
2019 Mercedes-Benz GLC 350e Base 4MATIC,"36,744 mi.",4.8,(59 reviews),Used,"$1,000 price drop","$37,079"
2021 Audi Q5 45 Premium,"23,845 mi.",4.2,(106 reviews),Used,$500 price drop,"$44,626"
2020 Honda Pilot EX-L,"15,590 mi.",4.5,(147 reviews),Used,$700 price drop,"$39,981"
2018 Dodge Durango GT,"21,683 mi.",4.6,(138 reviews),Used,"$8,029 price drop","$38,663"
2019 Toyota RAV4 LE,"32,733 mi.",4.7,"(1,232 reviews)",Used,$300 price drop,"$32,618"
2019 Honda CR-V EX-L,"18,235 mi.",4.7,"(1,712 reviews)",Used,"$1,750 price drop","$30,500"
2019 Hyundai Kona SE,"40,414 mi.",4.3,"(1,417 reviews)",Used,$986 price drop,"$22,612"
2021 RAM 1500 Laramie,"17,530 mi.",4.9,"(1,366 reviews)",Used,$400 price drop,"$54,805"
2020 Volvo XC90 T6 Momentum 6 Passenger,Mileage,4.9,"(1,522 reviews)",Volvo Certified,"$1,000 price drop","$47,500"
2019 BMW X5 xDrive40i,"35,062 mi.",4.5,"(1,520 reviews)",Used,$890 price drop,"$56,988"
2020 Ford Explorer Limited,"15,796 mi.",4.0,(204 reviews),Used,$244 price drop,"$42,434"
2018 Mercedes-Benz GLA 250 Base,"45,621 mi.",4.9,"(7,923 reviews)",Used,$552 price drop,"$26,000"
2021 Mercedes-Benz C-Class C 300 4MATIC,"58,402 mi.",4.5,(848 reviews),Used,$249 price drop,"$38,994"
2020 Lexus ES 350 F Sport,"11,323 mi.",4.6,(908 reviews),Used,$288 price drop,"$45,556"
2018 GMC Yukon Denali,"24,259 mi.",4.7,"(1,367 reviews)",Used,$401 price drop,"$53,999"
2020 Tesla Model 3 Performance,"22,398 mi.",4.3,(339 reviews),Used,$730 price drop,"$57,915"
2019 Lexus ES 350 Base,"47,996 mi.",4.7,"(1,954 reviews)",Used,$529 price drop,"$38,717"
2021 Kia Seltos S,"30,965 mi.",4.3,(393 reviews),Kia Certified,"$1,000 price drop","$25,297"
2020 Lexus ES 350 Base,"22,142 mi.",4.6,(0 reviews),Used,"$1,500 price drop","$40,998"
2018 Subaru Outback 2.5i Limited,"13,465 mi.",4.4,(172 reviews),Used,$500 price drop,"$29,500"
2018 Toyota RAV4 LE,"39,341 mi.",4.4,"(1,715 reviews)",Used,$400 price drop,"$24,987"
2015 Mercedes-Benz C-Class C 300,"45,973 mi.",4.8,(549 reviews),Used,$401 price drop,"$20,390"
2021 Kia Seltos S,"87,673 mi.",4.8,"(2,475 reviews)",Kia Certified,"$1,380 price drop","$26,992"
2019 Cadillac XT5 Luxury,"13,829 mi.",2.8,(511 reviews),Cadillac Certified,"$1,848 price drop","$34,765"
2017 INFINITI QX50 Base,"13,941 mi.",4.3,(32 reviews),Used,$901 price drop,"$26,998"
2019 INFINITI QX60 Luxe,"49,136 mi.",4.6,(120 reviews),Used,"$1,000 price drop","$35,500"
2021 Kia Seltos S,"49,138 mi.",4.8,(163 reviews),Used,$500 price drop,"$26,461"
2021 Audi Q5 45 Premium,"14,553 mi.",4.6,(921 reviews),Used,$200 price drop,"$47,991"
2020 Acura MDX 3.5L,"18,065 mi.",4.6,(273 reviews),Used,$260 price drop,"$42,955"
2019 Audi Q5 2.0T Premium Plus,"10,750 mi.",4.6,"(1,212 reviews)",Used,$508 price drop,"$41,998"
2019 Honda CR-V EX,"21,750 mi.",4.7,"(6,140 reviews)",Honda Certified,$586 price drop,"$29,995"
2020 Kia Sorento LX V6,"13,648 mi.",4.3,"(1,005 reviews)",Used,"$3,197 price drop","$25,495"
2019 INFINITI QX50 ESSENTIAL,"48,065 mi.",3.4,(159 reviews),Used,$498 price drop,"$36,976"
2016 Honda Pilot Elite,"18,712 mi.",4.9,(12 reviews),Used,"$1,003 price drop","$32,998"
2019 Mercedes-Benz C-Class C 300 4MATIC,"59,089 mi.",4.8,(71 reviews),Used,$700 price drop,"$33,499"
2005 Cadillac XLR Base,"35,935 mi.",4.6,"(2,006 reviews)",Used,"$1,654 price drop","$22,500"
2020 Tesla Model Y Long Range,"43,361 mi.",4.0,(60 reviews),Used,$850 price drop,"$68,496"
2017 INFINITI QX30 Sport,"30,031 mi.",4.5,(746 reviews),Used,"$1,000 price drop","$26,895"
2020 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,"47,484 mi.",4.7,(710 reviews),Used,"$2,339 price drop","$35,896"
